scrambled,original,text
Bence,Bence,"###Human:
Correct this hungarian first name: Bence

###Assistant:
Bence"
Bencé,Bence,"###Human:
Correct this hungarian first name: Bencé

###Assistant:
Bence"
Bencc,Bence,"###Human:
Correct this hungarian first name: Bencc

###Assistant:
Bence"
Benee,Bence,"###Human:
Correct this hungarian first name: Benee

###Assistant:
Bence"
Benoe,Bence,"###Human:
Correct this hungarian first name: Benoe

###Assistant:
Bence"
Bénce,Bence,"###Human:
Correct this hungarian first name: Bénce

###Assistant:
Bence"
Bcnce,Bence,"###Human:
Correct this hungarian first name: Bcnce

###Assistant:
Bence"
Dence,Bence,"###Human:
Correct this hungarian first name: Dence

###Assistant:
Bence"
Pence,Bence,"###Human:
Correct this hungarian first name: Pence

###Assistant:
Bence"
Maté,Máté,"###Human:
Correct this hungarian first name: Maté

###Assistant:
Máté"
Máte,Máté,"###Human:
Correct this hungarian first name: Máte

###Assistant:
Máté"
Máté,Máté,"###Human:
Correct this hungarian first name: Máté

###Assistant:
Máté"
Mátc,Máté,"###Human:
Correct this hungarian first name: Mátc

###Assistant:
Máté"
Bominik,Dominik,"###Human:
Correct this hungarian first name: Bominik

###Assistant:
Dominik"
Dóminik,Dominik,"###Human:
Correct this hungarian first name: Dóminik

###Assistant:
Dominik"
Döminik,Dominik,"###Human:
Correct this hungarian first name: Döminik

###Assistant:
Dominik"
Dőminik,Dominik,"###Human:
Correct this hungarian first name: Dőminik

###Assistant:
Dominik"
Domínik,Dominik,"###Human:
Correct this hungarian first name: Domínik

###Assistant:
Dominik"
Dominík,Dominik,"###Human:
Correct this hungarian first name: Dominík

###Assistant:
Dominik"
Dominik,Dominik,"###Human:
Correct this hungarian first name: Dominik

###Assistant:
Dominik"
Dominlk,Dominik,"###Human:
Correct this hungarian first name: Dominlk

###Assistant:
Dominik"
Dominjk,Dominik,"###Human:
Correct this hungarian first name: Dominjk

###Assistant:
Dominik"
Domlnik,Dominik,"###Human:
Correct this hungarian first name: Domlnik

###Assistant:
Dominik"
Domjnik,Dominik,"###Human:
Correct this hungarian first name: Domjnik

###Assistant:
Dominik"
Pominik,Dominik,"###Human:
Correct this hungarian first name: Pominik

###Assistant:
Dominik"
Levente,Levente,"###Human:
Correct this hungarian first name: Levente

###Assistant:
Levente"
Leventé,Levente,"###Human:
Correct this hungarian first name: Leventé

###Assistant:
Levente"
Leventc,Levente,"###Human:
Correct this hungarian first name: Leventc

###Assistant:
Levente"
Levénte,Levente,"###Human:
Correct this hungarian first name: Levénte

###Assistant:
Levente"
Levcnte,Levente,"###Human:
Correct this hungarian first name: Levcnte

###Assistant:
Levente"
Lévente,Levente,"###Human:
Correct this hungarian first name: Lévente

###Assistant:
Levente"
Lcvente,Levente,"###Human:
Correct this hungarian first name: Lcvente

###Assistant:
Levente"
Nóel,Noel,"###Human:
Correct this hungarian first name: Nóel

###Assistant:
Noel"
Nöel,Noel,"###Human:
Correct this hungarian first name: Nöel

###Assistant:
Noel"
Nőel,Noel,"###Human:
Correct this hungarian first name: Nőel

###Assistant:
Noel"
Noei,Noel,"###Human:
Correct this hungarian first name: Noei

###Assistant:
Noel"
Noeí,Noel,"###Human:
Correct this hungarian first name: Noeí

###Assistant:
Noel"
Noel,Noel,"###Human:
Correct this hungarian first name: Noel

###Assistant:
Noel"
Noél,Noel,"###Human:
Correct this hungarian first name: Noél

###Assistant:
Noel"
Nocl,Noel,"###Human:
Correct this hungarian first name: Nocl

###Assistant:
Noel"
Bániel,Dániel,"###Human:
Correct this hungarian first name: Bániel

###Assistant:
Dániel"
Daniel,Dániel,"###Human:
Correct this hungarian first name: Daniel

###Assistant:
Dániel"
Dáníel,Dániel,"###Human:
Correct this hungarian first name: Dáníel

###Assistant:
Dániel"
Dániei,Dániel,"###Human:
Correct this hungarian first name: Dániei

###Assistant:
Dániel"
Dánieí,Dániel,"###Human:
Correct this hungarian first name: Dánieí

###Assistant:
Dániel"
Dániel,Dániel,"###Human:
Correct this hungarian first name: Dániel

###Assistant:
Dániel"
Dániél,Dániel,"###Human:
Correct this hungarian first name: Dániél

###Assistant:
Dániel"
Dánicl,Dániel,"###Human:
Correct this hungarian first name: Dánicl

###Assistant:
Dániel"
Dánlel,Dániel,"###Human:
Correct this hungarian first name: Dánlel

###Assistant:
Dániel"
Dánjel,Dániel,"###Human:
Correct this hungarian first name: Dánjel

###Assistant:
Dániel"
Pániel,Dániel,"###Human:
Correct this hungarian first name: Pániel

###Assistant:
Dániel"
Zaián,Zalán,"###Human:
Correct this hungarian first name: Zaián

###Assistant:
Zalán"
Zaíán,Zalán,"###Human:
Correct this hungarian first name: Zaíán

###Assistant:
Zalán"
Zalan,Zalán,"###Human:
Correct this hungarian first name: Zalan

###Assistant:
Zalán"
Zalán,Zalán,"###Human:
Correct this hungarian first name: Zalán

###Assistant:
Zalán"
Zálán,Zalán,"###Human:
Correct this hungarian first name: Zálán

###Assistant:
Zalán"
Marceil,Marcell,"###Human:
Correct this hungarian first name: Marceil

###Assistant:
Marcell"
Marceíl,Marcell,"###Human:
Correct this hungarian first name: Marceíl

###Assistant:
Marcell"
Marceli,Marcell,"###Human:
Correct this hungarian first name: Marceli

###Assistant:
Marcell"
Marcelí,Marcell,"###Human:
Correct this hungarian first name: Marcelí

###Assistant:
Marcell"
Marcell,Marcell,"###Human:
Correct this hungarian first name: Marcell

###Assistant:
Marcell"
Marcéll,Marcell,"###Human:
Correct this hungarian first name: Marcéll

###Assistant:
Marcell"
Marccll,Marcell,"###Human:
Correct this hungarian first name: Marccll

###Assistant:
Marcell"
Mareell,Marcell,"###Human:
Correct this hungarian first name: Mareell

###Assistant:
Marcell"
Maroell,Marcell,"###Human:
Correct this hungarian first name: Maroell

###Assistant:
Marcell"
Márcell,Marcell,"###Human:
Correct this hungarian first name: Márcell

###Assistant:
Marcell"
Ólivér,Olivér,"###Human:
Correct this hungarian first name: Ólivér

###Assistant:
Olivér"
Ölivér,Olivér,"###Human:
Correct this hungarian first name: Ölivér

###Assistant:
Olivér"
Őlivér,Olivér,"###Human:
Correct this hungarian first name: Őlivér

###Assistant:
Olivér"
Oiivér,Olivér,"###Human:
Correct this hungarian first name: Oiivér

###Assistant:
Olivér"
Oíivér,Olivér,"###Human:
Correct this hungarian first name: Oíivér

###Assistant:
Olivér"
Olívér,Olivér,"###Human:
Correct this hungarian first name: Olívér

###Assistant:
Olivér"
Oliver,Olivér,"###Human:
Correct this hungarian first name: Oliver

###Assistant:
Olivér"
Olivér,Olivér,"###Human:
Correct this hungarian first name: Olivér

###Assistant:
Olivér"
Olivcr,Olivér,"###Human:
Correct this hungarian first name: Olivcr

###Assistant:
Olivér"
Ollvér,Olivér,"###Human:
Correct this hungarian first name: Ollvér

###Assistant:
Olivér"
Oljvér,Olivér,"###Human:
Correct this hungarian first name: Oljvér

###Assistant:
Olivér"
Adám,Ádám,"###Human:
Correct this hungarian first name: Adám

###Assistant:
Ádám"
Ádam,Ádám,"###Human:
Correct this hungarian first name: Ádam

###Assistant:
Ádám"
Ádám,Ádám,"###Human:
Correct this hungarian first name: Ádám

###Assistant:
Ádám"
Áqám,Ádám,"###Human:
Correct this hungarian first name: Áqám

###Assistant:
Ádám"
Mílán,Milán,"###Human:
Correct this hungarian first name: Mílán

###Assistant:
Milán"
Miián,Milán,"###Human:
Correct this hungarian first name: Miián

###Assistant:
Milán"
Miíán,Milán,"###Human:
Correct this hungarian first name: Miíán

###Assistant:
Milán"
Milan,Milán,"###Human:
Correct this hungarian first name: Milan

###Assistant:
Milán"
Milán,Milán,"###Human:
Correct this hungarian first name: Milán

###Assistant:
Milán"
Mllán,Milán,"###Human:
Correct this hungarian first name: Mllán

###Assistant:
Milán"
Mjlán,Milán,"###Human:
Correct this hungarian first name: Mjlán

###Assistant:
Milán"
Bávid,Dávid,"###Human:
Correct this hungarian first name: Bávid

###Assistant:
Dávid"
David,Dávid,"###Human:
Correct this hungarian first name: David

###Assistant:
Dávid"
Dávíd,Dávid,"###Human:
Correct this hungarian first name: Dávíd

###Assistant:
Dávid"
Dávid,Dávid,"###Human:
Correct this hungarian first name: Dávid

###Assistant:
Dávid"
Dáviq,Dávid,"###Human:
Correct this hungarian first name: Dáviq

###Assistant:
Dávid"
Dávld,Dávid,"###Human:
Correct this hungarian first name: Dávld

###Assistant:
Dávid"
Dávjd,Dávid,"###Human:
Correct this hungarian first name: Dávjd

###Assistant:
Dávid"
Pávid,Dávid,"###Human:
Correct this hungarian first name: Pávid

###Assistant:
Dávid"
Bótond,Botond,"###Human:
Correct this hungarian first name: Bótond

###Assistant:
Botond"
Bötond,Botond,"###Human:
Correct this hungarian first name: Bötond

###Assistant:
Botond"
Bőtond,Botond,"###Human:
Correct this hungarian first name: Bőtond

###Assistant:
Botond"
Botónd,Botond,"###Human:
Correct this hungarian first name: Botónd

###Assistant:
Botond"
Botönd,Botond,"###Human:
Correct this hungarian first name: Botönd

###Assistant:
Botond"
Botőnd,Botond,"###Human:
Correct this hungarian first name: Botőnd

###Assistant:
Botond"
Botond,Botond,"###Human:
Correct this hungarian first name: Botond

###Assistant:
Botond"
Botonq,Botond,"###Human:
Correct this hungarian first name: Botonq

###Assistant:
Botond"
Dotond,Botond,"###Human:
Correct this hungarian first name: Dotond

###Assistant:
Botond"
Potond,Botond,"###Human:
Correct this hungarian first name: Potond

###Assistant:
Botond"
Benett,Benett,"###Human:
Correct this hungarian first name: Benett

###Assistant:
Benett"
Benétt,Benett,"###Human:
Correct this hungarian first name: Benétt

###Assistant:
Benett"
Benctt,Benett,"###Human:
Correct this hungarian first name: Benctt

###Assistant:
Benett"
Bénett,Benett,"###Human:
Correct this hungarian first name: Bénett

###Assistant:
Benett"
Bcnett,Benett,"###Human:
Correct this hungarian first name: Bcnett

###Assistant:
Benett"
Denett,Benett,"###Human:
Correct this hungarian first name: Denett

###Assistant:
Benett"
Penett,Benett,"###Human:
Correct this hungarian first name: Penett

###Assistant:
Benett"
Aron,Áron,"###Human:
Correct this hungarian first name: Aron

###Assistant:
Áron"
Árón,Áron,"###Human:
Correct this hungarian first name: Árón

###Assistant:
Áron"
Árön,Áron,"###Human:
Correct this hungarian first name: Árön

###Assistant:
Áron"
Árőn,Áron,"###Human:
Correct this hungarian first name: Árőn

###Assistant:
Áron"
Áron,Áron,"###Human:
Correct this hungarian first name: Áron

###Assistant:
Áron"
Zsómbor,Zsombor,"###Human:
Correct this hungarian first name: Zsómbor

###Assistant:
Zsombor"
Zsömbor,Zsombor,"###Human:
Correct this hungarian first name: Zsömbor

###Assistant:
Zsombor"
Zsőmbor,Zsombor,"###Human:
Correct this hungarian first name: Zsőmbor

###Assistant:
Zsombor"
Zsombór,Zsombor,"###Human:
Correct this hungarian first name: Zsombór

###Assistant:
Zsombor"
Zsombör,Zsombor,"###Human:
Correct this hungarian first name: Zsombör

###Assistant:
Zsombor"
Zsombőr,Zsombor,"###Human:
Correct this hungarian first name: Zsombőr

###Assistant:
Zsombor"
Zsombor,Zsombor,"###Human:
Correct this hungarian first name: Zsombor

###Assistant:
Zsombor"
Zsomqor,Zsombor,"###Human:
Correct this hungarian first name: Zsomqor

###Assistant:
Zsombor"
Baiázs,Balázs,"###Human:
Correct this hungarian first name: Baiázs

###Assistant:
Balázs"
Baíázs,Balázs,"###Human:
Correct this hungarian first name: Baíázs

###Assistant:
Balázs"
Balazs,Balázs,"###Human:
Correct this hungarian first name: Balazs

###Assistant:
Balázs"
Balázs,Balázs,"###Human:
Correct this hungarian first name: Balázs

###Assistant:
Balázs"
Bálázs,Balázs,"###Human:
Correct this hungarian first name: Bálázs

###Assistant:
Balázs"
Dalázs,Balázs,"###Human:
Correct this hungarian first name: Dalázs

###Assistant:
Balázs"
Palázs,Balázs,"###Human:
Correct this hungarian first name: Palázs

###Assistant:
Balázs"
Mark,Márk,"###Human:
Correct this hungarian first name: Mark

###Assistant:
Márk"
Márk,Márk,"###Human:
Correct this hungarian first name: Márk

###Assistant:
Márk"
Béter,Péter,"###Human:
Correct this hungarian first name: Béter

###Assistant:
Péter"
Déter,Péter,"###Human:
Correct this hungarian first name: Déter

###Assistant:
Péter"
Peter,Péter,"###Human:
Correct this hungarian first name: Peter

###Assistant:
Péter"
Péter,Péter,"###Human:
Correct this hungarian first name: Péter

###Assistant:
Péter"
Pétér,Péter,"###Human:
Correct this hungarian first name: Pétér

###Assistant:
Péter"
Pétcr,Péter,"###Human:
Correct this hungarian first name: Pétcr

###Assistant:
Péter"
Pcter,Péter,"###Human:
Correct this hungarian first name: Pcter

###Assistant:
Péter"
Krístóf,Kristóf,"###Human:
Correct this hungarian first name: Krístóf

###Assistant:
Kristóf"
Kristof,Kristóf,"###Human:
Correct this hungarian first name: Kristof

###Assistant:
Kristóf"
Kristöf,Kristóf,"###Human:
Correct this hungarian first name: Kristöf

###Assistant:
Kristóf"
Kristőf,Kristóf,"###Human:
Correct this hungarian first name: Kristőf

###Assistant:
Kristóf"
Kristóf,Kristóf,"###Human:
Correct this hungarian first name: Kristóf

###Assistant:
Kristóf"
Krlstóf,Kristóf,"###Human:
Correct this hungarian first name: Krlstóf

###Assistant:
Kristóf"
Krjstóf,Kristóf,"###Human:
Correct this hungarian first name: Krjstóf

###Assistant:
Kristóf"
Zetény,Zétény,"###Human:
Correct this hungarian first name: Zetény

###Assistant:
Zétény"
Zéteny,Zétény,"###Human:
Correct this hungarian first name: Zéteny

###Assistant:
Zétény"
